process,ncall,norecall,totaltime,cumulativetime,subcalls
~#0(<method 'bit_length' of 'int' objects>),1,1,0.0,0.0,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/random.py', 222, '_randbelow'): (1, 1, 0.0, 0.0)}"
~#0(<built-in method builtins.ord>),2,2,0.0,0.0,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/simplejson/decoder.py', 376, 'raw_decode'): (2, 2, 0.0, 0.0)}"
~#0(<method 'group' of '_sre.SRE_Match' objects>),2,2,0.0,0.0,"{('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/argparse.py', 2046, '_match_argument'): (2, 2, 0.0, 0.0)}"
~#0(<built-in method _stat.S_ISLNK>),4,4,0.0,0.0,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/bin/../lib/python3.6/posixpath.py', 166, 'islink'): (4, 4, 0.0, 0.0)}"
/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/selectors.py#198(__enter__),4,4,0.0,0.0,"{('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/subprocess.py', 1455, '_communicate'): (3, 3, 0.0, 0.0), ('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/multiprocessing/connection.py', 897, 'wait'): (1, 1, 0.0, 0.0)}"
/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/random.py#685(seed),1,1,0.0,0.0,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/random.py', 87, '__init__'): (1, 1, 0.0, 0.0)}"
/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/localExec.py#808(<listcomp>),2,2,0.0,0.0,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/localExec.py', 804, '_generateOutputFileNames'): (2, 2, 0.0, 0.0)}"
/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/localExec.py#834(<listcomp>),1,1,0.0,0.0,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/localExec.py', 833, '_writeConfigurationFiles'): (1, 1, 0.0, 0.0)}"
/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/validator.py#66(<listcomp>),1,1,0.0,0.0,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/validator.py', 16, 'validate_descriptor'): (1, 1, 0.0, 0.0)}"
/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/validator.py#264(<listcomp>),1,1,0.0,0.0,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/validator.py', 16, 'validate_descriptor'): (1, 1, 0.0, 0.0)}"
/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/multiprocessing/util.py#44(sub_debug),1,1,0.0,0.0,"{('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/multiprocessing/util.py', 167, '__call__'): (1, 1, 0.0, 0.0)}"
~#0(<built-in method from_bytes>),1,1,1e-06,1e-06,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/random.py', 675, 'getrandbits'): (1, 1, 1e-06, 1e-06)}"
~#0(<method 'discard' of 'set' objects>),2,2,1e-06,1e-06,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/bin/../lib/python3.6/_weakrefset.py', 38, '_remove'): (1, 1, 0.0, 0.0), ('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/multiprocessing/process.py', 115, 'join'): (1, 1, 1e-06, 1e-06)}"
~#0(<method 'rfind' of 'str' objects>),1,1,1e-06,1e-06,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/bin/../lib/python3.6/posixpath.py', 102, 'split'): (1, 1, 1e-06, 1e-06)}"
~#0(<method 'rstrip' of 'str' objects>),1,1,1e-06,1e-06,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/bin/../lib/python3.6/posixpath.py', 102, 'split'): (1, 1, 1e-06, 1e-06)}"
~#0(<built-in method posix.getuid>),2,2,1e-06,1e-06,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/localExec.py', 210, 'execute'): (2, 2, 1e-06, 1e-06)}"
~#0(<built-in method posix.WEXITSTATUS>),5,5,1e-06,1e-06,"{('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/subprocess.py', 1337, '_handle_exitstatus'): (4, 4, 1e-06, 1e-06), ('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/multiprocessing/popen_fork.py', 25, 'poll'): (1, 1, 0.0, 0.0)}"
~#0(<built-in method posix.urandom>),1,1,1e-06,1e-06,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/random.py', 675, 'getrandbits'): (1, 1, 1e-06, 1e-06)}"
~#0(<method 'write' of '_io.TextIOWrapper' objects>),1,1,1e-06,1e-06,"{('/Users/greg/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/localExec.py', 210, 'execute'): (1, 1, 1e-06, 1e-06)}"
~#0(<method 'detach' of '_socket.socket' objects>),4,4,1e-06,1e-06,"{('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/socket.py', 419, 'detach'): (2, 2, 1e-06, 1e-06), ('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/socket.py', 475, 'socketpair'): (2, 2, 0.0, 0.0)}"
/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/argparse.py#1638(identity),6,6,1e-06,1e-06,"{('/usr/local/Cellar/python3/3.6.2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/argparse.py', 2282, '_get_value'): (6, 6, 1e-06, 1e-06)}"
